customerId,cohort_month,first_order_date,last_order_date,total_orders,total_revenue,avg_order_value,first_order_channel,first_order_amount,last_order_channel,recency_score,frequency_score,monetary_score,rfm_score,rfm_segment,value_tier,behaviour_state,channel_group
1089178.9103594365,12,2020-12-01 23:43:50.632221 UTC,2020-12-01 23:43:50.632221 UTC,1,2.8e-05,2.8e-05,shop.googlemerchandisestore.com,2.8e-05,shop.googlemerchandisestore.com,4,4,4,444,Champions,Bronze,At Risk,Internal / Self Referral
13500156.3163927651,1,2021-01-22 23:31:51.959762 UTC,2021-01-22 23:31:51.959762 UTC,1,2.8e-05,2.8e-05,<Other>,2.8e-05,<Other>,4,4,4,444,Champions,Bronze,New,Other / Unknown
45823533.2084380423,12,2020-12-15 17:04:40.553889 UTC,2020-12-15 17:04:40.553889 UTC,1,2.8e-05,2.8e-05,<Other>,2.8e-05,<Other>,4,4,4,444,Champions,Bronze,At Risk,Other / Unknown
7375268.6519816106,12,2020-12-14 15:42:55.112956 UTC,2020-12-14 15:42:55.112956 UTC,1,2.8e-05,2.8e-05,google,2.8e-05,google,4,4,4,444,Champions,Bronze,At Risk,Search (Paid/Organic)
7906945.0841694882,11,2020-11-07 08:01:06.462808 UTC,2020-11-07 08:01:06.462808 UTC,1,2.8e-05,2.8e-05,<Other>,2.8e-05,<Other>,4,4,4,444,Champions,Bronze,At Risk,Other / Unknown
8764422.5504594869,11,2020-11-30 19:59:37.944729 UTC,2020-11-30 19:59:37.944729 UTC,1,2.8e-05,2.8e-05,<Other>,2.8e-05,<Other>,4,4,4,444,Champions,Bronze,At Risk,Other / Unknown
10905693.2254980815,11,2020-11-14 20:39:51.866339 UTC,2020-11-14 20:39:51.866339 UTC,1,2.8e-05,2.8e-05,<Other>,2.8e-05,<Other>,4,4,4,444,Champions,Bronze,At Risk,Other / Unknown
46864690.7092927333,12,2020-12-09 01:04:38.59192 UTC,2020-12-09 01:04:38.59192 UTC,1,2.8e-05,2.8e-05,<Other>,2.8e-05,<Other>,4,4,4,444,Champions,Bronze,At Risk,Other / Unknown
43134343.6477848844,1,2021-01-22 00:17:24.453251 UTC,2021-01-22 00:17:24.453251 UTC,1,2.8e-05,2.8e-05,google,2.8e-05,google,4,4,4,444,Champions,Bronze,New,Search (Paid/Organic)
35367039.8308787550,11,2020-11-26 13:02:34.066679 UTC,2020-11-26 13:02:34.066679 UTC,1,2.8e-05,2.8e-05,(direct),2.8e-05,(direct),4,4,4,444,Champions,Bronze,At Risk,Direct
21387540.3778769856,11,2020-11-07 15:24:31.267044 UTC,2020-11-07 15:24:31.267044 UTC,1,2.8e-05,2.8e-05,(direct),2.8e-05,(direct),4,4,4,444,Champions,Bronze,At Risk,Direct
