customerId,first_order_date,last_order_date,total_orders,total_revenue,first_order_channel,first_order_amount,last_order_channel
39124975.6115059812,2021-01-20 21:51:09.033494 UTC,2021-01-20 21:51:09.033494 UTC,1,0.000107,<Other>,0.000107,<Other>
39443462.9852246899,2020-11-02 12:24:03.543886 UTC,2020-11-02 12:24:03.543886 UTC,1,5.8e-05,(data deleted),5.8e-05,(data deleted)
39913337.5078425632,2020-11-17 08:51:11.544066 UTC,2020-11-17 08:51:11.544066 UTC,1,7.4e-05,google,7.4e-05,google
4173503.5366002223,2020-11-09 21:28:58.347446 UTC,2020-11-09 21:38:43.712868 UTC,4,7.1e-05,(data deleted),1.1e-05,(data deleted)
44254060.0976017121,2020-11-11 06:33:11.156975 UTC,2020-11-11 06:33:11.156975 UTC,1,2.2e-05,shop.googlemerchandisestore.com,2.2e-05,shop.googlemerchandisestore.com
4571790.4716367763,2021-01-21 20:57:51.232239 UTC,2021-01-21 20:57:51.232239 UTC,1,9.1e-05,(data deleted),9.1e-05,(data deleted)
4594297.6618190263,2020-11-13 16:12:45.655117 UTC,2020-11-13 16:12:45.655117 UTC,1,0.000102,(direct),0.000102,(direct)
4645810.6414891428,2020-12-18 06:38:00.393295 UTC,2020-12-18 06:38:00.393295 UTC,1,7.5e-05,<Other>,7.5e-05,<Other>
5002058.4107238120,2020-12-08 09:41:28.664374 UTC,2020-12-09 07:37:47.911937 UTC,2,0.000437,<Other>,0.000362,shop.googlemerchandisestore.com
50234006.7156805216,2020-11-14 14:34:48.549893 UTC,2020-11-14 14:34:48.549893 UTC,1,6.7e-05,<Other>,6.7e-05,<Other>
54818265.6577214045,2020-11-13 20:42:47.211062 UTC,2020-12-19 03:26:44.364724 UTC,2,8.3e-05,(direct),4.8e-05,(data deleted)
5604587.3755072537,2020-12-18 14:49:29.25063 UTC,2020-12-18 14:49:29.25063 UTC,1,0.000108,(direct),0.000108,(direct)
60695124.4742262801,2020-12-02 08:51:42.303607 UTC,2020-12-10 10:25:37.529528 UTC,5,0.0012600000000000003,(data deleted),0.000105,<Other>
61969665.2429682443,2020-12-13 18:43:07.684327 UTC,2020-12-13 18:43:07.684327 UTC,1,4.6e-05,<Other>,4.6e-05,<Other>
61993137.2687500012,2020-12-22 16:26:17.229382 UTC,2020-12-22 16:26:17.229382 UTC,1,3e-05,google,3e-05,google
67141422.4526868236,2020-12-05 08:51:53.103942 UTC,2020-12-05 08:51:53.103942 UTC,1,1.4e-05,google,1.4e-05,google
6734225.7234108378,2020-12-16 17:36:04.022115 UTC,2020-12-16 17:36:04.022115 UTC,1,9.1e-05,(direct),9.1e-05,(direct)
68346527.0844051631,2020-12-05 14:00:13.259193 UTC,2020-12-05 14:00:13.259193 UTC,1,7.9e-05,(direct),7.9e-05,(direct)
71159593.7865196265,2020-12-04 14:18:23.480473 UTC,2020-12-04 14:18:23.480473 UTC,1,3.8e-05,google,3.8e-05,google
7162398.2588038279,2020-12-09 01:07:13.916419 UTC,2020-12-09 01:07:13.916419 UTC,1,4.2e-05,google,4.2e-05,google
7411487.6036119390,2021-01-19 16:12:13.535346 UTC,2021-01-19 16:12:13.535346 UTC,1,2e-05,(data deleted),2e-05,(data deleted)
7466332512.8576653585,2020-12-06 05:28:44.157757 UTC,2020-12-06 05:28:44.157757 UTC,1,3.9e-05,<Other>,3.9e-05,<Other>
77148477.7275137664,2020-11-24 18:24:14.732997 UTC,2020-11-24 18:24:14.732997 UTC,1,3.9e-05,<Other>,3.9e-05,<Other>
79173479.1654218830,2020-12-12 01:08:52.527568 UTC,2021-01-21 02:26:19.704012 UTC,2,8.8e-05,(direct),4.4e-05,google
8466512.3165163195,2020-12-01 09:50:17.706833 UTC,2020-12-01 09:50:17.706833 UTC,1,6e-05,<Other>,6e-05,<Other>
86272927.5845958008,2021-01-06 17:54:34.844952 UTC,2021-01-06 17:54:34.844952 UTC,1,4.6e-05,<Other>,4.6e-05,<Other>
89492716.5386437517,2020-11-02 22:07:16.147408 UTC,2020-11-02 22:07:16.147408 UTC,1,4.9e-05,<Other>,4.9e-05,<Other>
94023659.9782845125,2021-01-20 08:50:16.729126 UTC,2021-01-20 08:50:16.729126 UTC,1,3.2e-05,(data deleted),3.2e-05,(data deleted)
1213730.9590306741,2020-12-10 09:28:48.82941 UTC,2020-12-10 09:28:48.82941 UTC,1,2.1e-05,<Other>,2.1e-05,<Other>
14302032.1404243708,2021-01-09 07:30:56.249446 UTC,2021-01-09 07:30:56.249446 UTC,1,2.4e-05,(direct),2.4e-05,(direct)
1867943.5297361314,2020-12-02 12:49:41.009693 UTC,2020-12-02 12:49:41.009693 UTC,1,4.5e-05,google,4.5e-05,google
1874599.7824854030,2020-12-19 03:57:27.958223 UTC,2020-12-19 04:09:05.022726 UTC,2,0.00019999999999999998,(data deleted),0.00013,(data deleted)
21404027.8691114246,2020-11-08 02:31:31.340104 UTC,2020-11-08 02:31:31.340104 UTC,1,1.7e-05,(direct),1.7e-05,(direct)
22809713.5594396469,2020-11-27 13:18:05.550347 UTC,2020-11-27 13:18:05.550347 UTC,1,7.2e-05,<Other>,7.2e-05,<Other>
23754938.4809580024,2020-12-12 16:12:27.264143 UTC,2020-12-12 16:12:27.264143 UTC,1,9.2e-05,<Other>,9.2e-05,<Other>
28284205.9810024272,2020-12-22 06:50:15.881525 UTC,2020-12-22 06:50:15.881525 UTC,1,0.000102,(data deleted),0.000102,(data deleted)
